"No.","Time","Source","Destination","Protocol","Length","Info"
"1900","4.644345","104.198.218.190","10.1.10.11","TLSv1.2","378","Application Data, Application Data"
"1908","4.657517","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1926","4.706839","104.198.218.190","10.1.10.11","TLSv1.2","378","Application Data, Application Data"
"1948","4.743834","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1951","4.782062","104.198.218.190","10.1.10.11","TLSv1.2","379","Application Data, Application Data"
"1974","4.829761","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1989","4.848700","104.198.218.190","10.1.10.11","TLSv1.2","379","Application Data, Application Data"
"2022","4.920460","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2053","4.998857","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2057","5.003996","104.198.218.190","10.1.10.11","TLSv1.2","309","Application Data"
"2081","5.070416","104.198.218.190","10.1.10.11","TLSv1.2","783","Application Data, Application Data, Application Data, Application Data, Application Data"
"2092","5.089161","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2133","5.167284","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2143","5.195524","104.198.218.190","10.1.10.11","TLSv1.2","313","Application Data"
"2170","5.257320","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2172","5.262277","104.198.218.190","10.1.10.11","TLSv1.2","458","Application Data, Application Data, Application Data"
"2226","5.338766","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2263","5.427517","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2317","5.508148","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2325","5.529452","104.198.218.190","10.1.10.11","TLSv1.2","313","Application Data"
"2365","5.597581","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2366","5.601011","104.198.218.190","10.1.10.11","TLSv1.2","127","Application Data"
"2397","5.668821","104.198.218.190","10.1.10.11","TLSv1.2","392","Application Data, Application Data"
"2407","5.677063","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2423","5.721445","104.198.218.190","10.1.10.11","TLSv1.2","389","Application Data, Application Data"
"2457","5.774849","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2462","5.786568","104.198.218.190","10.1.10.11","TLSv1.2","393","Application Data, Application Data"
"2499","5.847417","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2539","5.923268","104.198.218.190","10.1.10.11","TLSv1.2","313","Application Data"
"2549","5.938605","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2593","5.984584","104.198.218.190","10.1.10.11","TLSv1.2","137","Application Data"
"2621","6.017336","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2650","6.096223","104.198.218.190","10.1.10.11","TLSv1.2","318","Application Data"
"2657","6.109782","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2673","6.154985","104.198.218.190","10.1.10.11","TLSv1.2","478","Application Data, Application Data, Application Data"
"2691","6.200516","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2700","6.227020","104.198.218.190","10.1.10.11","TLSv1.2","399","Application Data, Application Data"
"2725","6.278117","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2732","6.299279","104.198.218.190","10.1.10.11","TLSv1.2","401","Application Data, Application Data"
"2758","6.367281","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2761","6.368509","104.198.218.190","10.1.10.11","TLSv1.2","1095","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"2789","6.447326","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2812","6.538879","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2817","6.549055","104.198.218.190","10.1.10.11","TLSv1.2","332","Application Data"
"2845","6.614203","104.198.218.190","10.1.10.11","TLSv1.2","129","Application Data"
"2851","6.617571","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2865","6.662700","104.198.218.190","10.1.10.11","TLSv1.2","764","Application Data, Application Data, Application Data, Application Data"
"2890","6.708010","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2901","6.732443","104.198.218.190","10.1.10.11","TLSv1.2","408","Application Data, Application Data"
"2937","6.788928","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
